#	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
54	AEGN	7/31/2002	39.31	"Aegion Corp"	NASDAQ	"Water Supply"	"Basic Industries"
55	AEIS	1/2/1998	54.42	"Advanced Energy Industries, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
56	AEL	12/4/2003	44.78	"American Equity Investment Life Holding Company"	NYSE	"Life Insurance"	"Finance"
57	AEO	1/2/1998	77.81	"American Eagle Outfitters, Inc."	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
58	AEP	1/2/1998	77.97	"American Electric Power Company, Inc."	NYSE	"Electric Utilities: Central"	"Public Utilities"
59	AES	1/2/1998	82.63	"The AES Corporation"	NYSE	"Electric Utilities: Central"	"Basic Industries"
60	AET	1/2/1998	79.19	"Aetna Inc."	NYSE	"Medical Specialities"	"Health Care"
61	AF	5/17/2002	56.17	"Astoria Financial Corporation"	NYSE	"Savings Institutions"	"Finance"
62	AFAM	2/1/2000	17.66	"Almost Family Inc"	NASDAQ	"Medical/Nursing Services"	"Health Care"
63	AFFY	12/15/2006	18.17	"Affymax, Inc."	NASDAQ	"Biotechnology"	"Healthcare"
64	AFG	1/2/1998	53.14	"American Financial Group, Inc."	NYSE	"Property-Casualty Insurers"	"Finance"
65	AFL	1/2/1998	77.89	"Aflac Incorporated"	NYSE	"Accident &Health Insurance"	"Finance"
66	AFSI	11/28/2006	33.17	"AmTrust Financial Services, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
67	AG	12/15/2010	25.8	"First Majestic Silver Corp."	NYSE	"Precious Metals"	"Basic Industries"
68	AGCO	5/4/2009	32.8	"AGCO Corporation"	NYSE	"Industrial Machinery/Components"	"Capital Goods"
69	AGII	1/2/1998	29.87	"Argo Group International Holdings, Ltd."	NASDAQ	"Specialty Insurers"	"Finance"
70	AGM	6/18/1999	21.82	"Federal Agricultural Mortgage Corporation"	NYSE	"Finance Companies"	"Finance"
71	AGN	6/15/2015	8.58	"Allergan plc."	NYSE	"Major Pharmaceuticals"	"Health Care"
72	AGNC	5/15/2008	39.85	"AGNC Investment Corp."	NASDAQ	"Real Estate Investment Trusts"	"Consumer Services"
73	AGO	4/23/2004	48.49	"Assured Guaranty Ltd."	NYSE	"Property-Casualty Insurers"	"Finance"
74	AGX	8/22/2007	10.45	"Argan, Inc."	NYSE	"Engineering & Construction"	"Basic Industries"
75	AGYS	9/16/2003	25.69	"Agilysys, Inc."	NASDAQ	"EDP Services"	"Technology"
76	AHC	2/11/2008	11.94	"A.H. Belo Corporation"	NYSE	"Newspapers/Magazines"	"Consumer Services"
77	AHH	5/8/2013	7.02	"Armada Hoffler Properties, Inc."	NYSE	"Real Estate"	"Finance"
78	AHL	12/5/2003	41.8	"Aspen Insurance Holdings Limited"	NYSE	"Property-Casualty Insurers"	"Finance"
79	AHT	8/26/2003	44.05	"Ashford Hospitality Trust Inc"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
80	AI	6/10/2009	16.81	"Arlington Asset Investment Corp"	NYSE	"Finance/Investors Services"	"Finance"
81	AIG	1/2/1998	94.61	"American International Group, Inc."	NYSE	"Property-Casualty Insurers"	"Finance"
82	AIMC	12/15/2006	22.7	"Altra Industrial Motion Corp."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
83	AIN	1/2/1998	38	"Albany International Corporation"	NYSE	"Textiles"	"Basic Industries"
84	AINV	5/5/2004	53.82	"Apollo Investment Corporation"	NASDAQ	""	""
85	AIQ	7/31/2001	22.11	"Alliance HealthCare Services, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
86	AIR	1/2/1998	46.28	"AAR Corp."	NYSE	"Aerospace"	"Capital Goods"
87	AIRM	1/2/1998	32.9	"Air Methods Corporation"	NASDAQ	"Transportation Services"	"Transportation"
88	AIT	7/3/2000	42.24	"Applied Industrial Technologies, Inc."	NYSE	"Industrial Specialties"	"Consumer Durables"
89	AIV	1/2/1998	65.12	"Apartment Investment and Management Company"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
90	AIZ	2/5/2004	50.82	"Assurant, Inc."	NYSE	"Accident &Health Insurance"	"Finance"
91	AJG	1/2/1998	61.81	"Arthur J. Gallagher & Co."	NYSE	"Specialty Insurers"	"Finance"
92	AKAM	10/29/1999	75.17	"Akamai Technologies, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
93	AKR	8/13/1998	38.36	"Acadia Realty Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
94	AKRX	2/7/2007	34.08	"Akorn, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
95	AKS	1/2/1998	71.32	"AK Steel Holding Corporation"	NYSE	"Steel/Iron Ore"	"Basic Industries"
96	AL	4/19/2011	20.62	"Air Lease Corporation"	NYSE	"Diversified Commercial Services"	"Technology"
97	ALB	1/2/1998	57.55	"Albemarle Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
98	ALCO	1/2/1998	6.25	"Alico, Inc."	NASDAQ	"Farming/Seeds/Milling"	"Consumer Non-Durables"
99	ALD	3/17/2011	2.01	"WisdomTree Asia Local Debt Fund"	NYSE	"WisdomTree"	"Emerging Markets Bond"
100	ALE	9/1/2000	42.13	"Allete, Inc."	NYSE	"Power Generation"	"Public Utilities"
101	ALEX	6/14/2012	10.59	"Alexander & Baldwin Holdings, Inc."	NYSE	"Real Estate"	"Finance"
102	ALG	1/2/1998	11.18	"Alamo Group, Inc."	NYSE	"Industrial Machinery/Components"	"Capital Goods"
103	ALGN	1/30/2001	53.69	"Align Technology, Inc."	NASDAQ	"Industrial Specialties"	"Health Care"
104	ALGT	12/8/2006	25.39	"Allegiant Travel Company"	NASDAQ	"Air Freight/Delivery Services"	"Transportation"
105	ALIM	4/22/2010	9.14	"Alimera Sciences, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
106	ALJ	7/28/2005	40.13	"Alon USA Energy, Inc."	NYSE	"Integrated oil Companies"	"Energy"
107	ALK	1/2/1998	68.6	"Alaska Air Group, Inc."	NYSE	"Air Freight/Delivery Services"	"Transportation"
108	ALKS	1/2/1998	67.14	"Alkermes plc"	NASDAQ	"Major Pharmaceuticals"	"Health Care"
109	ALL	1/2/1998	82.72	"Allstate Corporation (The)"	NYSE	"Property-Casualty Insurers"	"Finance"
110	ALNY	6/1/2004	39.09	"Alnylam Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
111	ALOG	2/8/2005	21.33	"Analogic Corporation"	NASDAQ	"Electrical Products"	"Capital Goods"
112	ALR	7/5/2000	44.81	"Alere Inc."	NYSE	"Biotechnology: In Vitro & In Vivo Diagnostic Substances"	"Health Care"
113	ALSK	11/18/1999	34.95	"Alaska Communications Systems Group, Inc."	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
114	ALSN	3/15/2012	18.8	"Allison Transmission Holdings, Inc."	NYSE	"Auto Parts:O.E.M."	"Capital Goods"
115	ALV	1/2/1998	57.05	"Autoliv, Inc."	NYSE	"Auto Parts:O.E.M."	"Capital Goods"
116	ALX	1/2/1998	4.52	"Alexander's, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
117	ALXN	1/2/1998	62.78	"Alexion Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
118	AM	11/5/2014	6.47	"Antero Midstream Partners LP"	NYSE	"Natural Gas Distribution"	"Public Utilities"
119	AMAG	6/27/2006	32.85	"AMAG Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
120	AMAT	1/2/1998	99.92	"Applied Materials, Inc."	NASDAQ	"Semiconductors"	"Technology"
121	AMBA	10/10/2012	18.13	"Ambarella, Inc."	NASDAQ	"Semiconductors"	"Technology"
122	AMBC	5/1/2013	11.3	"Ambac Financial Group, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
123	AMCX	6/16/2011	20.81	"AMC Networks Inc."	NASDAQ	"Television Services"	"Consumer Services"
124	AMD	1/2/1998	89.93	"Advanced Micro Devices, Inc."	NASDAQ	"Semiconductors"	"Technology"
125	AME	1/2/1998	59.27	"AMTEK, Inc."	NYSE	"Metal Fabrications"	"Consumer Durables"
126	AMED	5/10/2002	43.69	"Amedisys Inc"	NASDAQ	"Medical/Nursing Services"	"Health Care"
127	AMG	1/2/1998	58.43	"Affiliated Managers Group, Inc."	NYSE	"Investment Managers"	"Finance"
128	AMGN	1/2/1998	91.29	"Amgen Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
129	AMKR	5/1/1998	68.09	"Amkor Technology, Inc."	NASDAQ	"Semiconductors"	"Technology"
130	AMN	6/11/2010	18.87	"AMN Healthcare Services Inc"	NYSE	"Professional Services"	"Technology"
131	AMNB	2/5/2002	3.71	"American National Bankshares, Inc."	NASDAQ	"Major Banks"	"Finance"
132	AMP	10/3/2005	49.93	"AMERIPRISE FINANCIAL SERVICES, INC."	NYSE	"Investment Managers"	"Finance"
133	AMPE	3/31/2010	12.14	"Ampio Pharmaceuticals, Inc."	AMEX	"Major Pharmaceuticals"	"Health Care"
134	AMPH	6/25/2014	6.65	"Amphastar Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
135	AMRC	7/22/2010	10.27	"Ameresco, Inc."	NYSE	"Engineering & Construction"	"Basic Industries"
136	AMRI	2/4/1999	38.98	"Albany Molecular Research, Inc."	NASDAQ	"Biotechnology: Commercial Physical & Biological Resarch"	"Health Care"
137	AMRS	9/28/2010	15.05	"Amyris, Inc."	NASDAQ	"Major Chemicals"	"Basic Industries"
138	AMSC	1/2/1998	46.69	"American Superconductor Corporation"	NASDAQ	"Metal Fabrications"	"Consumer Durables"
139	AMSF	11/18/2005	19.61	"AMERISAFE, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
140	AMSWA	10/25/2005	13.98	"American Software, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
141	AMT	6/5/1998	71.59	"American Tower Corporation (REIT)"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
142	AMTD	1/2/1998	81.69	"TD Ameritrade Holding Corporation"	NASDAQ	"Investment Bankers/Brokers/Service"	"Finance"
143	AMWD	1/2/1998	24.87	"American Woodmark Corporation"	NASDAQ	"Forest Products"	"Basic Industries"
144	AMZN	1/2/1998	99.73	"Amazon.com, Inc."	NASDAQ	"Catalog/Specialty Distribution"	"Consumer Services"
145	AN	4/6/1999	66.11	"AutoNation, Inc."	NYSE	"Automotive Aftermarket"	"Consumer Durables"
146	ANAT	1/2/1998	9.47	"American National Insurance Company"	NASDAQ	"Life Insurance"	"Finance"
147	ANCX	7/19/2004	3.91	"Access National Corporation"	NASDAQ	"Savings Institutions"	"Finance"
148	ANDE	1/2/1998	32.53	"The Andersons, Inc."	NASDAQ	"Farming/Seeds/Milling"	"Consumer Services"
149	ANF	1/2/1998	78.36	"Abercrombie & Fitch Company"	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
150	ANGI	11/17/2011	16.97	"Angie's List, Inc."	NASDAQ	"Advertising"	"Consumer Services"
151	ANGO	6/1/2004	26.58	"AngioDynamics, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
152	ANH	5/9/2003	52.74	"Anworth Mortgage Asset  Corporation"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
153	ANIK	1/2/1998	20.45	"Anika Therapeutics Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
154	ANSS	1/2/1998	50.65	"ANSYS, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
155	ANTH	3/1/2010	13.57	"Anthera Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
156	ANTM	10/30/2001	67.14	"Anthem, Inc."	NYSE	"Medical Specialities"	"Health Care"
157	AOI	5/16/2005	29.54	"Alliance One International, Inc."	NYSE	"Farming/Seeds/Milling"	"Consumer Services"
158	AON	1/2/1998	73.73	"Aon plc"	NYSE	"Specialty Insurers"	"Finance"
159	AOS	1/2/1998	52.15	"Smith (A.O.) Corporation"	NYSE	"Consumer Electronics/Appliances"	"Consumer Durables"
160	AOSL	4/29/2010	8.41	"Alpha and Omega Semiconductor Limited"	NASDAQ	"Semiconductors"	"Technology"
161	AP	1/2/1998	14.87	"Ampco-Pittsburgh Corporation"	NYSE	"Fluid Controls"	"Capital Goods"
162	APA	1/2/1998	80.36	"Apache Corporation"	NYSE	"Oil & Gas Production"	"Energy"
163	APAM	3/7/2013	10.9	"Artisan Partners Asset Management Inc."	NYSE	"Investment Managers"	"Finance"
164	APC	1/2/1998	79.84	"Anadarko Petroleum Corporation"	NYSE	"Oil & Gas Production"	"Energy"
165	APD	1/2/1998	75.14	"Air Products and Chemicals, Inc."	NYSE	"Major Chemicals"	"Basic Industries"
166	APEI	11/9/2007	20.68	"American Public Education, Inc."	NASDAQ	"Other Consumer Services"	"Consumer Services"
167	APH	1/2/1998	64.38	"Amphenol Corporation"	NYSE	"Electrical Products"	"Capital Goods"
168	APOG	1/2/1998	41.05	"Apogee Enterprises, Inc."	NASDAQ	"Auto Parts:O.E.M."	"Capital Goods"
169	ARAY	2/8/2007	31.5	"Accuray Incorporated"	NASDAQ	"Medical/Dental Instruments"	"Health Care"
170	ARC	2/4/2005	28.13	"ARC Document Solutions, Inc."	NYSE	"Professional Services"	"Consumer Services"
171	ARCC	10/5/2004	49.94	"Ares Capital Corporation"	NASDAQ	""	""
172	ARE	1/2/1998	48.17	"Alexandria Real Estate Equities, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
173	AREX	11/8/2007	26.76	"Approach Resources Inc."	NASDAQ	"Oil & Gas Production"	"Energy"
174	ARI	9/24/2009	20.05	"Apollo Commercial Real Estate Finance"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
175	ARIA	1/2/1998	57.16	"ARIAD Pharmaceuticals, Inc."	NASDAQ	"Biotechnology"	"Healthcare"
176	ARII	1/23/2006	25.39	"American Railcar Industries, Inc."	NASDAQ	"Railroads"	"Capital Goods"
177	ARL	8/3/2000	1.57	"American Realty Investors, Inc."	NYSE	"Real Estate"	"Finance"
178	ARNA	7/28/2000	52.49	"Arena Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
179	ARNC	1/2/1998	90.39	"Arconic Inc."	NYSE	"Metal Fabrications"	"Capital Goods"
180	AROC	8/21/2007	38.54	"Archrock, Inc."	NYSE	"Natural Gas Distribution"	"Public Utilities"
181	AROW	1/2/1998	8.69	"Arrow Financial Corporation"	NASDAQ	"Major Banks"	"Finance"
182	ARQL	1/2/1998	34.4	"ArQule, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
183	ARR	11/10/2009	26.16	"ARMOUR Residential REIT, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
184	ARRS	1/2/1998	61.8	"ARRIS International plc"	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
185	ARRY	11/30/2000	40	"Array BioPharma Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
186	ARTNA	1/2/1998	5.15	"Artesian Resources Corporation"	NASDAQ	"Water Supply"	"Public Utilities"
187	ARW	1/2/1998	66.78	"Arrow Electronics, Inc."	NYSE	"Electronic Components"	"Consumer Non-Durables"
188	ARYX	11/7/2007	2.9	"ARYx Therapeutics, Inc."	OTC MARKETS	"Drug Manufacturers - Other"	"Healthcare"
189	ASB	1/2/1998	63.88	"Associated Banc-Corp"	NYSE	"Major Banks"	"Finance"
190	ASCMA	9/26/2008	10.75	"Ascent Capital Group, Inc."	NASDAQ	"Other Consumer Services"	"Consumer Services"
191	ASGN	1/2/1998	38.47	"On Assignment, Inc."	NYSE	"Professional Services"	"Technology"
192	ASH	1/2/1998	66.87	"Ashland Global Holdings Inc."	NYSE	"Specialty Chemicals"	"Consumer Durables"
193	ASNA	4/30/2007	41.41	"Ascena Retail Group, Inc."	NASDAQ	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
194	ASTE	1/2/1998	34.13	"Astec Industries, Inc."	NASDAQ	"Construction/Ag Equipment/Trucks"	"Capital Goods"
195	ASTI	8/29/2006	19.45	"Ascent Solar Technologies, Inc."	NASDAQ	"Semiconductor - Specialized"	"Technology"
196	ASYS	1/2/1998	14.67	"Amtech Systems, Inc."	NASDAQ	"Industrial Machinery/Components"	"Technology"
197	AT	7/23/2010	21.39	"Atlantic Power Corporation"	NYSE	"Electric Utilities: Central"	"Energy"
198	ATEC	6/12/2006	13.45	"Alphatec Holdings, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
199	ATHN	9/20/2007	33.31	"athenahealth, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
200	ATI	11/30/1999	66.92	"Allegheny Technologies Incorporated"	NYSE	"Steel/Iron Ore"	"Basic Industries"
201	ATLO	5/12/2005	3.02	"Ames National Corporation"	NASDAQ	"Major Banks"	"Finance"
202	ATLS	2/24/2015	2.45	"Atlas Energy, L.P. Common Units"	NYSE	"Gas Utilities"	"Utilities"
203	ATNI	5/23/2006	14.19	"ATN International, Inc."	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
204	ATO	1/2/1998	55.29	"Atmos Energy Corporation"	NYSE	"Oil/Gas Transmission"	"Public Utilities"
205	ATR	1/2/1998	44.29	"AptarGroup, Inc."	NYSE	"Plastic Products"	"Consumer Non-Durables"
206	ATRC	8/5/2005	12.61	"AtriCure, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
207	ATRI	10/29/2004	1.77	"Atrion Corporation"	NASDAQ	"Medical/Dental Instruments"	"Health Care"
208	ATRO	1/2/1998	15.38	"Astronics Corporation"	NASDAQ	"Military/Government/Technical"	"Capital Goods"
209	ATRS	5/23/2002	38.12	"Antares Pharma, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
210	ATSG	5/16/2008	18.71	"Air Transport Services Group, Inc"	NASDAQ	"Air Freight/Delivery Services"	"Transportation"
211	ATU	7/24/2000	51.3	"Actuant Corporation"	NYSE	"Industrial Machinery/Components"	"Technology"
212	ATVI	1/2/1998	78.53	"Activision Blizzard, Inc"	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
213	ATW	1/2/1998	59.08	"Atwood Oceanics, Inc."	NYSE	"Oil & Gas Production"	"Energy"
214	AUBN	3/30/2005	0.63	"Auburn National Bancorporation, Inc."	NASDAQ	"Major Banks"	"Finance"
215	AUMN	8/3/2009	12.03	"Golden Minerals Company"	AMEX	"Precious Metals"	"Basic Industries"
216	AVA	1/4/1999	52	"Avista Corporation"	NYSE	"Power Generation"	"Public Utilities"
217	AVAV	1/23/2007	26.51	"AeroVironment, Inc."	NASDAQ	"Aerospace"	"Capital Goods"
218	AVB	6/5/1998	60.4	"AvalonBay Communities, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
219	AVD	3/7/2006	26.85	"American Vanguard Corporation"	NYSE	"Agricultural Chemicals"	"Basic Industries"
220	AVEO	3/12/2010	15.49	"AVEO Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
221	AVGO	8/6/2009	33.23	"Broadcom Limited"	NASDAQ	"Semiconductors"	"Technology"
222	AVHI	5/23/2003	11.82	"A V Homes, Inc."	NASDAQ	"Homebuilding"	"Capital Goods"
223	AVID	1/2/1998	46.95	"Avid Technology, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
224	AVNW	1/29/2010	12.66	"Aviat Networks, Inc."	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
225	AVP	1/2/1998	80.9	"Avon Products, Inc."	NYSE	"Package Goods/Cosmetics"	"Consumer Non-Durables"
226	AVT	1/2/1998	68.83	"Avnet, Inc."	NYSE	"Electronic Components"	"Consumer Non-Durables"
227	AVX	1/2/1998	50.15	"AVX Corporation"	NYSE	"Electrical Products"	"Capital Goods"
228	AVY	1/2/1998	69.26	"Avery Dennison Corporation"	NYSE	"Containers/Packaging"	"Consumer Durables"
229	AWH	7/12/2006	34.63	"Allied World Assurance Company Holdings, AG"	NYSE	"Property-Casualty Insurers"	"Finance"
230	AWI	10/18/2006	34.57	"Armstrong World Industries Inc"	NYSE	"Plastic Products"	"Consumer Non-Durables"
231	AWK	4/23/2008	36.68	"American Water Works"	NYSE	"Water Supply"	"Public Utilities"
232	AWR	7/1/1998	32.46	"American States Water Company"	NYSE	"Water Supply"	"Public Utilities"
233	AXAS	7/25/2008	26.17	"Abraxas Petroleum Corporation"	NASDAQ	"Oil & Gas Production"	"Energy"
234	AXDX	10/9/2003	9.68	"Accelerate Diagnostics, Inc."	NASDAQ	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
235	AXE	1/2/1998	49.59	"Anixter International Inc."	NYSE	"Telecommunications Equipment"	"Consumer Non-Durables"
236	AXL	1/29/1999	60.52	"American Axle & Manufacturing Holdings, Inc."	NYSE	"Auto Parts:O.E.M."	"Capital Goods"
237	AXP	1/2/1998	86.29	"American Express Company"	NYSE	"Finance: Consumer Services"	"Finance"
238	AXR	1/2/1998	6.66	"AMREP Corporation"	NYSE	"Newspapers/Magazines"	"Consumer Services"
239	AXS	7/1/2003	48.4	"Axis Capital Holdings Limited"	NYSE	"Property-Casualty Insurers"	"Finance"
240	AXTI	5/21/1998	25	"AXT Inc"	NASDAQ	"Semiconductors"	"Technology"
